Maternal genotype,W,G,G_1,G_2,G_3,R
WW,1,0,0,0,0,0
WG,d^2/2 + d*(1 - d) + (1 - c)*(1 - d)^2/2,c*(1 - d)^2/2 + (1 - c)*(1 - d)^2/2,d*(1 - d)/2,d*(1 - d)/2,d^2/2,c*(1 - d)^2/2
WG_1,1/2,0,1/2 - d/2,0,d/2,0
WG_2,1/2,0,0,1/2 - d/2,d/2,0
WG_3,1/2,0,0,0,1/2,0
WR,1/2,0,0,0,0,1/2
GG,0,d^2*(1 - d)^2 + 2*d*(1 - d)^3 + (1 - d)^4,d^3*(1 - d) + 2*d^2*(1 - d)^2 + d*(1 - d)^3,d^3*(1 - d) + 2*d^2*(1 - d)^2 + d*(1 - d)^3,d^4 + 2*d^3*(1 - d) + d^2*(1 - d)^2,0
GG_1,0,d*(1 - d)^2/2 + (1 - d)^3/2,d^2*(1 - d) + 3*d*(1 - d)^2/2 + (1 - d)^3/2,d^2*(1 - d)/2 + d*(1 - d)^2/2,d^3 + 3*d^2*(1 - d)/2 + d*(1 - d)^2/2,0
GG_2,0,d*(1 - d)^2/2 + (1 - d)^3/2,d^2*(1 - d)/2 + d*(1 - d)^2/2,d^2*(1 - d) + 3*d*(1 - d)^2/2 + (1 - d)^3/2,d^3 + 3*d^2*(1 - d)/2 + d*(1 - d)^2/2,0
GG_3,0,(1 - d)^2/2,d*(1 - d)/2,d*(1 - d)/2,d^2 + d*(1 - d) + (1 - d)^2/2,0
GR,0,(1 - d)^2/2,d*(1 - d)/2,d*(1 - d)/2,d^2/2,d^2/2 + d*(1 - d) + (1 - d)^2/2
G_1G_1,0,0,d*(1 - d) + (1 - d)^2,0,d^2 + d*(1 - d),0
G_1G_2,0,0,d*(1 - d)/2 + (1 - d)^2/2,d*(1 - d)/2 + (1 - d)^2/2,d^2 + d*(1 - d),0
G_1G_3,0,0,1/2 - d/2,0,d/2 + 1/2,0
G_1R,0,0,1/2 - d/2,0,d/2,1/2
G_2G_2,0,0,0,d*(1 - d) + (1 - d)^2,d^2 + d*(1 - d),0
G_2G_3,0,0,0,1/2 - d/2,d/2 + 1/2,0
G_2R,0,0,0,1/2 - d/2,d/2,1/2
G_3G_3,0,0,0,0,1,0
G_3R,0,0,0,0,1/2,1/2
RR,0,0,0,0,0,1
