Maternal genotype,WW,WR,GW,GR
"WW,WW",1,0,0,0
"WW,WR",1/2,1/2,0,0
"WW,GW",c*r*(1 - c)/2 + c*(1/2 - r/2)*(1 - c) + (1 - c)^2/2,c^2/2 + c*r*(1 - c)/2 + c*(1/2 - r/2)*(1 - c),c*r*(1 - c)/2 + c*(1/2 - r/2)*(1 - c) + (1 - c)^2/2,c^2/2 + c*r*(1 - c)/2 + c*(1/2 - r/2)*(1 - c)
"WW,GR",(1/2 - r/2)*(1 - c),c/2 + r*(1 - c)/2,r*(1 - c)/2,c/2 + (1/2 - r/2)*(1 - c)
"WR,WR",0,1,0,0
"WR,GW",r*(1 - c)/2,c/2 + (1/2 - r/2)*(1 - c),(1/2 - r/2)*(1 - c),c/2 + r*(1 - c)/2
"WR,GR",0,1/2,0,1/2
"GW,GW",0,0,c*(1 - c) + (1 - c)^2,c^2 + c*(1 - c)
"GW,GR",0,0,1/2 - c/2,c/2 + 1/2
"GR,GR",0,0,0,1
