Maternal genotype,WW,WI,WR,GW,GI,GR
"WW,WW",1,0,0,0,0,0
"WW,WI",1/2,1/2,0,0,0,0
"WW,WR",1/2,0,1/2,0,0,0
"WW,GW",c*r*(1 - c)/2 + c*(1/2 - r/2)*(1 - c) + (1 - c)^2/2,0,c^2/2 + c*r*(1 - c)/2 + c*(1/2 - r/2)*(1 - c),c*r*(1 - c)/2 + c*(1/2 - r/2)*(1 - c) + (1 - c)^2/2,0,c^2/2 + c*r*(1 - c)/2 + c*(1/2 - r/2)*(1 - c)
"WW,GI",(1/2 - r/2)*(1 - c),c*r/2 + r*(1 - c)/2,c*(1/2 - r/2),r*(1 - c)/2,c*(1/2 - r/2) + (1/2 - r/2)*(1 - c),c*r/2
"WW,GR",(1/2 - r/2)*(1 - c),0,c/2 + r*(1 - c)/2 + 1/2,r*(1 - c)/2,0,c/2 + (1/2 - r/2)*(1 - c) + 1/2
"WI,WI",0,1,0,0,0,0
"WI,WR",0,1/2,1/2,0,0,0
"WI,GW",r*(1 - c)/2,c*(1/2 - r/2) + (1/2 - r/2)*(1 - c),c*r/2,(1/2 - r/2)*(1 - c),c*r/2 + r*(1 - c)/2,c*(1/2 - r/2)
"WI,GI",0,1/2,0,0,1/2,0
"WI,GR",0,1/2 - r/2,r/2,0,r/2,1/2 - r/2
"WR,WR",0,0,1,0,0,0
"WR,GW",r*(1 - c)/2,0,c/2 + (1/2 - r/2)*(1 - c) + 1/2,(1/2 - r/2)*(1 - c),0,c/2 + r*(1 - c)/2 + 1/2
"WR,GI",0,r/2,1/2 - r/2,0,1/2 - r/2,r/2
"WR,GR",0,0,1/2,0,0,1/2
"GW,GW",0,0,0,c*(1 - c) + (1 - c)^2,0,c^2 + c*(1 - c)
"GW,GI",0,0,0,1/2 - c/2,1/2,c/2
"GW,GR",0,0,0,1/2 - c/2,0,c/2 + 3/2
"GI,GI",0,0,0,0,1,0
"GI,GR",0,0,0,0,1/2,1/2
"GR,GR",0,0,0,0,0,1
